"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.107670417E0,-3.739226580E0,-9.638322830E0,3.990203857E0,1.108155265E1
1.112700417E0,-2.714459658E0,-1.023986053E1,3.168326378E0,1.105718441E1
1.117698490E0,-2.382895470E0,-9.790038109E0,5.829386711E-1,1.009271294E1
1.122726928E0,-6.844139099E0,-6.418046951E0,-3.853656769E0,1.014318674E1
1.127755365E0,-1.200606251E1,-3.485224247E0,-3.405864239E0,1.295732365E1
1.132789584E0,-1.607056808E1,-1.201776505E0,-1.764234066E0,1.621172252E1
1.137818386E0,-1.961340141E1,1.229820251E-1,2.203636169E-1,1.961502485E1
1.142847188E0,-1.530525875E1,-4.140101910E0,2.741411209E0,1.609057876E1
1.147875990E0,-1.324487591E1,-6.517789364E0,2.768919468E0,1.501916213E1
1.152914584E0,-1.259946823E1,-6.228464127E0,2.579532623E0,1.428965898E1
1.157943907E0,-1.140237522E1,-5.383131981E0,2.580169678E0,1.287049130E1
1.162994844E0,-1.026293564E1,-4.901679039E0,1.405954838E0,1.145997445E1
1.168026303E0,-8.288429260E0,-5.282100677E0,3.037347794E-1,9.833153207E0
1.173057761E0,-5.541624069E0,-5.995599747E0,-6.328945160E-1,8.188856399E0
1.178089219E0,-3.699484587E0,-5.960144997E0,-1.353115082E0,7.144258885E0
1.183112449E0,-2.926715851E0,-5.318073273E0,-1.857850075E0,6.348163191E0
1.188143490E0,-2.584537029E0,-4.903869629E0,-2.834395647E0,6.225878868E0
1.193174532E0,-2.396936178E0,-4.957334995E0,-3.488595009E0,6.518494338E0
1.198200521E0,-2.639355659E0,-4.625493050E0,-3.415404797E0,6.326640038E0
1.203231251E0,-3.784512520E0,-3.466950893E0,-2.571947813E0,5.740836094E0
1.208261980E0,-3.399906397E0,-4.252780914E0,-1.913859844E0,5.771340270E0
1.213263126E0,-4.060572624E0,-4.725457191E0,-1.612506390E0,6.435710727E0
1.218291876E0,-5.173534393E0,-4.663837433E0,-1.589437008E0,7.144448735E0
1.223320626E0,-5.968957901E0,-4.627665520E0,-2.097003222E0,7.838441752E0
1.228379324E0,-7.114561081E0,-4.273848057E0,-1.906785250E0,8.515784554E0
1.233410105E0,-8.422655106E0,-4.017975330E0,-1.456799746E0,9.444972752E0
1.238427188E0,-9.309540749E0,-4.052261829E0,-1.008858681E0,1.020324315E1
1.243456615E0,-9.594021797E0,-4.296327114E0,-5.081696510E-1,1.052434878E1
1.248497605E0,-9.374668121E0,-4.616527081E0,2.784490585E-2,1.044976076E1
1.253528178E0,-8.866426468E0,-4.859818459E0,4.147639275E-1,1.011945566E1
1.258558751E0,-8.574419975E0,-4.759602070E0,8.653821945E-1,9.844967045E0
1.263589324E0,-7.719422340E0,-5.199385643E0,8.759117126E-1,9.348278647E0
1.268659949E0,-6.622737408E0,-5.843191147E0,5.840308666E-1,8.851249946E0
1.273692501E0,-5.747187614E0,-6.158223152E0,1.227133274E-1,8.424306288E0
1.278725053E0,-5.038885593E0,-6.192883492E0,-6.215746403E-1,8.008029033E0
1.283757605E0,-4.376458168E0,-6.233262062E0,-1.691505671E0,7.801803219E0
1.288749011E0,-3.727113247E0,-6.210743904E0,-2.825903893E0,7.774988476E0
1.293779480E0,-3.172918081E0,-6.135229111E0,-3.885561705E0,7.925025877E0
1.298794063E0,-2.881398201E0,-6.043444633E0,-4.654870987E0,8.154354820E0
1.303822917E0,-2.809517384E0,-6.011519432E0,-4.974207878E0,8.293039119E0
1.308846771E0,-2.908875704E0,-5.905147552E0,-5.157830715E0,8.362747345E0
1.313875157E0,-3.104227304E0,-5.715150833E0,-5.116467476E0,8.275108195E0
1.318903542E0,-3.347967386E0,-5.532546043E0,-4.861109734E0,8.090014783E0
1.323942136E0,-3.569292068E0,-5.243222713E0,-4.491845131E0,7.772252117E0
1.328971199E0,-3.700609446E0,-5.052960873E0,-4.142158985E0,7.508954981E0
1.334001719E0,-3.771035910E0,-5.052389622E0,-3.762819767E0,7.342081811E0
1.339030886E0,-3.894910812E0,-5.093087673E0,-3.467781544E0,7.289401973E0
1.344060053E0,-4.115170479E0,-5.160676479E0,-3.165432215E0,7.320325874E0
1.349110105E0,-4.289901733E0,-5.254976749E0,-2.902238369E0,7.378416163E0
1.354140678E0,-4.346784592E0,-5.261245251E0,-2.716892004E0,7.345525171E0
1.359171251E0,-4.248900414E0,-5.146158695E0,-2.766127348E0,7.224096106E0
1.364201824E0,-3.953284264E0,-5.344003677E0,-2.930608511E0,7.264660902E0
1.369189324E0,-3.662780523E0,-5.758376122E0,-3.379332542E0,7.615428100E0
1.374217709E0,-3.556879997E0,-6.306517601E0,-3.682344913E0,8.123005825E0
1.379239480E0,-3.208773613E0,-6.558527946E0,-4.273095131E0,8.459897099E0
1.384267240E0,-2.777262211E0,-6.543677330E0,-4.610150337E0,8.472684611E0
1.389295001E0,-2.261990070E0,-6.396454811E0,-4.503153801E0,8.143072355E0
1.394322761E0,-1.491752267E0,-6.203070641E0,-4.080391884E0,7.573176884E0
1.399384949E0,-4.783990383E-1,-6.149132729E0,-3.596886635E0,7.139908432E0
1.404414428E0,6.715221405E-1,-5.954077721E0,-2.797026634E0,6.612514006E0
1.409443907E0,2.062373161E0,-5.704151154E0,-1.787424326E0,6.323417522E0
1.414436407E0,3.544589043E0,-5.234333038E0,-4.826484919E-1,6.339976609E0
1.419463490E0,5.160257816E0,-4.588018417E0,1.036018133E0,6.982227961E0
1.424490574E0,6.912769794E0,-3.863399982E0,2.422540188E0,8.281361399E0
1.429517657E0,8.766145706E0,-3.186641216E0,3.388919353E0,9.923949172E0
1.434544740E0,1.071793747E1,-2.602602959E0,4.124043465E0,1.177520532E1
1.439652344E0,1.260567379E1,-1.968121529E0,4.641626358E0,1.357649474E1
1.444682657E0,1.430802536E1,-1.399141312E0,5.102511406E0,1.525492736E1
1.449712969E0,1.579592514E1,-8.285198212E-1,5.528852463E0,1.675607071E1
1.454679740E0,1.695819855E1,-4.214582443E-1,5.831211567E0,1.793770201E1
1.459705834E0,1.774275589E1,2.859973907E-2,6.048577309E0,1.874543923E1
1.464731928E0,1.810618401E1,4.329113960E-1,6.362621784E0,1.919646497E1
1.469770834E0,1.781752014E1,7.717947960E-1,6.795459747E0,1.908501937E1
1.474797813E0,1.703727722E1,9.972801208E-1,7.309740543E0,1.856598205E1
1.479824792E0,1.613430405E1,1.148581505E0,7.973700523E0,1.803371583E1
1.484851771E0,1.528472233E1,1.026576519E0,8.555954933E0,1.754653700E1
1.489902553E0,1.449818707E1,8.714194298E-1,9.044044495E0,1.710998366E1
1.494930730E0,1.372173882E1,6.637315750E-1,9.438652992E0,1.666777808E1
1.499979324E0,1.296573925E1,6.136951447E-1,9.398071289E0,1.602531622E1
1.505009584E0,1.244732094E1,8.261861801E-1,9.292399406E0,1.555529070E1
1.510036563E0,1.246449375E1,8.809590340E-1,9.006233215E0,1.540298445E1
1.515066459E0,1.287552261E1,9.071221352E-1,8.496282578E0,1.545279168E1
1.520096355E0,1.341522026E1,8.895859718E-1,7.781377316E0,1.553413437E1
1.525126251E0,1.370056534E1,7.847638130E-1,6.826450825E0,1.532715811E1
1.530175782E0,1.362705231E1,6.878919601E-1,5.724449635E0,1.479658993E1
1.535206667E0,1.343945503E1,6.284146309E-1,4.594091415E0,1.421687492E1
1.540237553E0,1.319298363E1,5.500917435E-1,3.354955673E0,1.362399154E1
1.545243542E0,1.277364349E1,4.357295036E-1,2.051456928E0,1.294466314E1
1.550272761E0,1.203939629E1,2.480463982E-1,5.055422783E-1,1.205255836E1
1.555305209E0,1.111678028E1,1.041550636E-1,-9.723238945E-1,1.115970725E1
1.560334740E0,1.031293297E1,-3.163290024E-2,-2.197384834E0,1.054448136E1
1.565361615E0,1.004293346E1,1.103739738E-1,-3.166757345E0,1.053095661E1
1.570390886E0,1.010123825E1,3.434896469E-2,-3.724942207E0,1.076621514E1
1.575420157E0,1.015609646E1,-2.636780739E-1,-4.232089043E0,1.100574391E1
1.580454949E0,9.963605881E0,-5.731120110E-1,-4.818223476E0,1.108229114E1
1.585484584E0,9.374745369E0,-7.265257835E-1,-5.245439053E0,1.076700150E1
1.590514219E0,8.656064987E0,-6.665968895E-1,-5.782862186E0,1.043136173E1
1.595533490E0,7.866959095E0,-6.457319260E-1,-6.184066772E0,1.002739732E1
1.600562396E0,6.873462677E0,-6.627545357E-1,-7.531088829E0,1.021768231E1
1.605591303E0,5.733017445E0,-7.349591255E-1,-8.073051453E0,9.928837479E0
1.610618803E0,4.865266800E0,-9.939651489E-1,-8.513520241E0,9.855902528E0
